Week,Workout ID,Sport,Session Type,Total Duration,Total Distance,Warm Up,Recovery Rest,Cool Down,Intensity Type,Intensity Rule,Intensity Display,Workout Description (Original Structure),Intensity Guidance (%),Workout Description (Original Structure) (2),Intensity Guidance (%) (2),Warm Up Intensity Rule,Main Set Intensity Rule,Cool Down Intensity Rule
0,W00-SWIM-CSS-01,Swim,Time Trial,,1500m,400m + 4x50 drill build + 4x25 fast,2min between 400s,200m,CSS,CSS:TEST,CSS test – establish new baseline,"CSS Test: 400m TT, 200m easy, 400m TT",CSS baseline test,,,CSS:+8-+12,CSS:TEST,CSS:+8-+12
0,W00-SWIM-AER-02,Swim,Aerobic,,1200m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,"1,200m steady aerobic",CSS +8–12 sec,,,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
0,W00-SWIM-END-03,Swim,Endurance,,1800m,300m,,200m,CSS,CSS:+5-+10,CSS +5 to +10 sec per 100,"1,800m continuous steady",CSS +5–10 sec,,,CSS:+8-+12,CSS:+5-+10,CSS:+8-+12
0,W00-BIKE-FTP-04,Bike,Time Trial,60min,,15min progressive build,5min before test block,10min,FTP,FTP:TEST,20min max effort test,FTP Test: 20min max effort after warm-up,Establish new FTP,,,FTP:0.60-0.70,FTP:TEST,FTP:0.60-0.70
0,W00-BIKE-AER-05,Bike,Aerobic,,60min,10min,,5–10min,FTP,FTP:0.65-0.75,65–75% FTP,Endurance ride 60min steady aerobic,65–75% FTP,,,FTP:0.60-0.70,FTP:0.65-0.75,FTP:0.60-0.70
0,W00-BIKE-VO2-06,Bike,VO2,45min,,12min build + 3x30s -ups,3min between reps,8–10min,FTP,FTP:1.05-1.15,105–115% FTP,5 x 3min hard,105–115% FTP,,,FTP:0.60-0.70,FTP:1.05-1.15,FTP:0.60-0.70
0,W00-RUN-5K-07,Run,Time Trial,,5km,10min + 4x20s strides,,10min,RUN_PACE,RUN:TEST,5K Time Trial,Test 5K effort to establish new pace zones,All-out controlled effort,,,RUN:AEROBIC,RUN:TEST,RUN:AEROBIC
0,W00-RUN-AER-08,Run,Aerobic,,8km,5min,,5min,RUN_PACE,RUN:AEROBIC,8:00–8:45 per mile,8km steady aerobic run,Aerobic pace,,,RUN:AEROBIC,RUN:AEROBIC,RUN:AEROBIC
0,W00-RUN-TEMP-09,Run,Tempo,40min,,10min + strides,4min between efforts,10min,RUN_PACE,RUN:THRESHOLD,Threshold pace session,2 x 8min steady threshold,Threshold pace,,,RUN:AEROBIC,RUN:THRESHOLD,RUN:AEROBIC
1,W01-SWIM-INT-01,Swim,Interval,,1000m,300m + 4x50m drill build,30s between 50s,200m,CSS,CSS:-3--5,CSS –3 to –5 sec per 100,"Total = 1,000m; Main set (MS) = 6 x 50m",CSS –3 to –5 sec per 100,"Total = 1,000m; Main set (MS) = 6 x 50m",CSS –3 to –5 sec per 100,CSS:+8-+12,CSS:-3--5,CSS:+8-+12
1,W01-SWIM-AER-02,Swim,Aerobic,,800m,200m,,100m,CSS,CSS:+8-+12,CSS +8 to +12 sec per 100,800m,CSS +8 to +12 sec per 100,800m,CSS +8 to +12 sec per 100,CSS:+8-+12,CSS:+8-+12,CSS:+8-+12
